dyPerOne,dy,poolb0,poolb1
999477960714632437,999539005563835495462,320302116558923438601889,322301786005592464122531
999355986963258951,999417028537652649360,319302499566994721996417,323301786005592464122531
999234008368251329,999295053482522092411,318303004574525908883180,324301786005592464122531
999112011316399095,999173066783003241572,317303631593163717365650,325301786005592464122531
998989982195834897,999051054826860208502,316304380648169824972233,326301786005592464122531
998867907392317935,998929004001343353456,315305251778421382510463,327301786005592464122531
998745773285519607,998806900689473973526,314306245036415243976319,328301786005592464122531
998623566245309510,998684731266330273636,313307360488275911235642,329301786005592464122531
998501272628039943,998562482095332772585,312308598213767194042735,330301786005592464122530
998378878772827088,998440139524527298894,311309958306307587806807,331301786005592464122530
998256370997827016,998317689882863732247,310311440872989373361529,332301786005592464122530
998133735596504647,998195119476468645903,309313046034601444837946,333301786005592464122530
998010958833893877,998072414584910003610,308314773925655873587837,334301786005592464122530
997888026942846943,997949561457452061323,307316624694418217954673,335301786005592464122530
997764926120271242,997826546309298619266,306318598502941590544167,336301786005592464122530
997641642523351686,997703355317822763857,305320695527104496507249,337301786005592464122530
997518162265756743,997579974618781231373,304322915956652458216807,338301786005592464122530
997394471413826290,997456390302511516296,303325259995243443596967,339301786005592464122530
997270555982739365,997332588410109836860,302327727860497117251537,340301786005592464122530
997146401932659928,997208554929588058374,301330319784047935438050,341301786005592464122530
997021995164858702,997084275792007661666,300333036011602107846880,342301786005592464122530
996897321517809158,996959736867588829064,299335876802998451072873,343301786005592464122530
996772366763255706,996834923961792704139,298338842432273160611091,344301786005592464122530
996647116602252098,996709822811374863602,297341933187728530170286,345301786005592464122530
996521556661168073,996584419080408020430,296345149372005649079024,346301786005592464122530
996395672487662220,996458698356271956524,295348491302161110561485,347301786005592464122530
996269449546619018,996332646145608660778,294351959309747765684489,348301786005592464122529
996142873216048017,996206247870240624506,293355553740899559825765,349301786005592464122529
996015928782943040,996079488863050220654,292359274956420490587460,350301786005592464122529
995888601439099311,995952354363818066048,291363123331877728180063,351301786005592464122529
995760876276886369,995824829515018237169,290367099257698941431843,352301786005592464122529
995632738284974575,995696899357568179453,289371203139273874739349,353301786005592464122529
995504172344013015,995568548826531117995,288375435397060223467069,354301786005592464122529
995375163222256556,995439762746768743627,287379796466693857530817,355301786005592464122529
995245695571139762,995310525828541912713,286384286799103445161539,356301786005592464122529
995115753920795378,995180822663057061558,285388906860629531145788,357301786005592464122529
994985322675514986,995050637717955997066,284393657133148126177935,358301786005592464122529
994854386109149470,994919955332746684132,283398538114198866339205,359301786005592464122529
994722928360446820,994788759714172607220,282403550317117804141628,360301786005592464122529
994590933428324788,994657034931518238543,281408694271174895043094,361301786005592464122529
994458385167075874,994524764911848098298,280413970521716245854741,362301786005592464122529
994325267281502032,994391933435176843335,279419379630311194026044,363301786005592464122529
994191563321976458,994258524129567769485,278424922174904289408266,364301786005592464122529
994057256679429789,994124520466157059517,277430598749972252765504,365301786005592464122529
993922330580257922,993989905754101053179,276436409966685988026641,366301786005592464122528
